property_type,region,area_m2,price_usd,state,lat,lon
apartment,Northeast,85.0,90494.91,Bahia,-12.938337,-38.362667
apartment,Northeast,115.0,152905.19,Bahia,-13.000443,-38.45739
apartment,Northeast,58.0,109217.99,Bahia,-13.001169,-38.49419
apartment,Northeast,191.0,207514.19,Bahia,-13.000443,-38.45739
apartment,Northeast,170.0,202833.42,Bahia,-12.958966,-38.405651
apartment,Northeast,67.0,215647.81,Bahia,-12.9349962,-38.3576186
apartment,Northeast,185.0,138862.88,Bahia,-12.998506,-38.52309
apartment,Northeast,56.0,81133.37,Bahia,-13.004878,-38.532276
apartment,Northeast,95.0,109217.99,Bahia,-13.004878,-38.532276
apartment,Northeast,120.0,112338.51,Bahia,-12.996323,-38.481049
apartment,Northeast,110.0,112338.51,Bahia,-12.985207,-38.456074
apartment,Northeast,110.0,118579.54,Bahia,-12.985207,-38.456074
apartment,Northeast,114.0,241839.85,Bahia,-13.002217,-38.516796
apartment,Northeast,98.0,155713.66,Bahia,-13.002217,-38.516796
apartment,Northeast,83.0,134119.7,Bahia,-13.000443,-38.45739
apartment,Northeast,102.0,190507.39,Bahia,-13.007612,-38.49474
apartment,Northeast,63.0,196592.39,Bahia,-13.004092,-38.5047
apartment,Northeast,80.0,99856.45,Bahia,-12.993305,-38.45739
apartment,Northeast,120.0,84253.88,Bahia,-12.992462,-38.444553
apartment,Northeast,115.0,115459.02,Bahia,-12.992462,-38.444553
apartment,Northeast,80.0,107657.74,Bahia,-12.993305,-38.45739
apartment,Northeast,80.0,92991.32,Bahia,-12.974552,-38.496819
apartment,Northeast,70.0,87374.39,Bahia,-12.974552,-38.496819
apartment,Northeast,143.0,202833.42,Bahia,-12.9857,-38.519516
house,Northeast,140.0,106097.48,Bahia,-12.920561,-38.318233
house,Northeast,197.0,148224.42,Bahia,-12.12635,-38.40873
apartment,Northeast,114.0,152905.19,Bahia,-12.991933,-38.465279
apartment,Northeast,95.0,101416.71,Bahia,-13.007857,-38.498463
apartment,Northeast,90.0,109217.99,Bahia,-13.010818,-38.48336
apartment,Northeast,152.0,327653.99,Bahia,-13.000164,-38.489021
house,Northeast,66.0,171628.28,Bahia,-12.905073,-38.684437
apartment,Northeast,244.0,187230.85,Bahia,-12.98223,-38.43898
